Time	Unique Portal ID
2016-07-21 21:49:42 PDT	6
2016-07-21 21:52:53 PDT	93
2016-07-21 21:56:05 PDT	4
2016-07-21 21:56:09 PDT	4
2016-07-21 21:56:55 PDT	94
2016-07-21 21:59:05 PDT	95
2016-07-21 22:00:03 PDT	96
2016-07-21 22:01:58 PDT	97
2016-07-22 04:10:06 PDT	98
2016-07-22 04:11:34 PDT	99
2016-07-22 04:11:39 PDT	99
2016-07-22 04:11:43 PDT	99
2016-07-22 04:11:47 PDT	99
2016-07-22 04:11:50 PDT	99
2016-07-22 04:11:57 PDT	99
2016-07-22 04:12:01 PDT	99
2016-07-22 04:12:07 PDT	99
2016-07-22 04:12:52 PDT	99
2016-07-22 04:16:17 PDT	100
2016-07-22 04:16:46 PDT	101
2016-07-22 04:18:33 PDT	102
2016-07-22 04:18:35 PDT	102
2016-07-22 04:19:27 PDT	102
2016-07-22 04:19:55 PDT	102
2016-07-22 04:20:00 PDT	102
2016-07-22 04:20:05 PDT	102
2016-07-22 04:20:13 PDT	102
2016-07-22 04:20:23 PDT	103
2016-07-22 04:29:28 PDT	104
2016-07-22 04:31:01 PDT	105
2016-07-22 04:31:56 PDT	106
2016-07-22 04:32:04 PDT	107
2016-07-22 04:32:55 PDT	71
2016-07-22 04:34:21 PDT	75
2016-07-22 04:34:30 PDT	70
2016-07-22 04:34:40 PDT	68
2016-07-22 04:34:47 PDT	69
2016-07-22 04:35:14 PDT	108
2016-07-22 04:39:06 PDT	4
2016-07-22 04:41:12 PDT	93
2016-07-22 04:41:17 PDT	93
2016-07-22 04:44:23 PDT	6
2016-07-22 04:44:40 PDT	6
2016-07-22 04:44:50 PDT	6
2016-07-22 04:45:36 PDT	7
2016-07-22 04:45:41 PDT	7
2016-07-22 04:45:54 PDT	78
2016-07-22 04:46:00 PDT	8
2016-07-22 04:46:05 PDT	8
2016-07-22 04:46:23 PDT	9
2016-07-22 04:46:35 PDT	10
2016-07-22 04:46:39 PDT	10
2016-07-22 04:46:50 PDT	10
2016-07-22 04:46:57 PDT	10
2016-07-22 04:48:28 PDT	11
2016-07-22 04:48:30 PDT	66
2016-07-22 04:56:00 PDT	56
2016-07-22 04:56:08 PDT	56
2016-07-22 04:56:37 PDT	2
2016-07-22 04:57:59 PDT	3
2016-07-22 04:58:20 PDT	1
2016-07-23 17:18:54 PDT	56
2016-07-23 17:22:17 PDT	54
2016-07-23 17:22:47 PDT	52
2016-07-23 17:22:58 PDT	50
2016-07-23 17:23:17 PDT	109
2016-07-23 17:24:32 PDT	49
2016-07-23 17:25:32 PDT	110
2016-07-23 17:27:17 PDT	97
2016-07-23 17:29:23 PDT	111
2016-07-23 17:29:37 PDT	112
2016-07-23 17:30:48 PDT	113
2016-07-23 17:30:51 PDT	113
2016-07-23 17:30:52 PDT	113
2016-07-23 17:30:53 PDT	113
2016-07-23 17:30:55 PDT	113
2016-07-23 17:30:56 PDT	113
2016-07-23 17:31:22 PDT	114
2016-07-23 17:31:31 PDT	92
2016-07-23 17:31:38 PDT	91
2016-07-23 17:31:41 PDT	91
2016-07-23 17:32:01 PDT	89
2016-07-23 18:56:23 PDT	89
2016-07-23 18:58:05 PDT	115
2016-07-23 18:58:14 PDT	116
2016-07-23 18:58:28 PDT	117
2016-07-23 18:59:14 PDT	118
2016-07-23 18:59:33 PDT	119
2016-07-23 19:00:02 PDT	120
2016-07-23 19:00:34 PDT	121
2016-07-23 19:01:58 PDT	122
2016-07-23 19:03:44 PDT	16
2016-07-23 19:03:49 PDT	16
2016-07-23 19:03:51 PDT	16
2016-07-23 19:04:09 PDT	16
2016-07-23 19:04:11 PDT	16
2016-07-23 19:04:18 PDT	16
2016-07-23 19:04:21 PDT	16
2016-07-23 19:04:33 PDT	15
2016-07-23 19:04:41 PDT	15
2016-07-23 19:04:59 PDT	16
2016-07-23 20:11:20 PDT	15
2016-07-23 20:11:23 PDT	16
2016-07-23 20:18:12 PDT	123
2016-07-23 20:18:18 PDT	92
2016-07-23 20:18:20 PDT	114
2016-07-23 20:22:12 PDT	51
2016-07-23 20:31:39 PDT	52
2016-07-23 20:31:55 PDT	53
2016-07-23 20:32:03 PDT	53
2016-07-23 20:32:23 PDT	54
2016-07-23 20:32:30 PDT	54
2016-07-23 20:33:59 PDT	55
2016-07-23 20:34:02 PDT	55
2016-07-23 20:34:04 PDT	55
2016-07-23 20:34:06 PDT	55
2016-07-23 20:34:08 PDT	55
2016-07-23 20:34:10 PDT	55
2016-07-23 20:34:40 PDT	5
2016-07-23 20:35:00 PDT	57
2016-07-23 20:35:02 PDT	57
2016-07-23 20:35:06 PDT	57
2016-07-23 20:35:07 PDT	57
2016-07-23 20:35:10 PDT	57
2016-07-24 01:29:48 PDT	3
2016-07-24 01:30:12 PDT	1
2016-07-24 01:31:10 PDT	2
2016-07-24 01:31:58 PDT	56
2016-07-24 01:41:09 PDT	57
2016-07-24 01:41:13 PDT	57
2016-07-24 01:41:16 PDT	57
2016-07-24 01:41:19 PDT	57
2016-07-24 02:29:20 PDT	56
2016-07-24 02:29:27 PDT	56
2016-07-24 02:29:33 PDT	56
2016-07-24 02:29:42 PDT	56
2016-07-24 02:29:52 PDT	56
2016-07-24 02:30:11 PDT	2
2016-07-24 02:30:17 PDT	2
2016-07-24 02:30:24 PDT	2
2016-07-24 02:30:30 PDT	2
2016-07-24 02:30:38 PDT	2
2016-07-24 02:32:21 PDT	1
2016-07-24 02:32:26 PDT	1
2016-07-24 02:32:33 PDT	1
2016-07-24 02:32:40 PDT	1
2016-07-24 02:32:48 PDT	1
