"Candidate ID","Assigned Time","Comment","Rating for Cultural","Rating for Text","Is Duplicate","Duplicate of Portal","Rating for Location","Suggested Location","Rating for Quality","Rating for Safety","One Star Submission","Time","Rating for Uniqueness","What is it?"
"dff9b2d88688494f137630c101ea7210","2017-10-05 03:02:32 GMT","","","","false","","","","","","true","2017-10-05 03:03:32 GMT","",""
"344d145e1711897346a6085660f536bd","2017-10-05 03:03:35 GMT","","5","5","false","","5","","5","5","false","2017-10-05 03:04:36 GMT","3",""
"c485059aa30ba944bde02f31ef287830","2017-10-05 03:18:45 GMT","","5","5","false","","3","","5","1","false","2017-10-05 03:20:17 GMT","4",""
"80390cc092e8381a1bb3a656ccfc1099","2017-10-05 03:20:21 GMT","","5","5","false","","5","","5","5","false","2017-10-05 03:21:17 GMT","5",""
"6ba3efed03a9a56498bcf14543ec4323","2017-10-05 03:21:22 GMT","","","","false","","","","","","true","2017-10-05 03:21:44 GMT","",""
"ad8228b9d00246785d4e8e36e1e99dac","2017-10-05 03:21:53 GMT","","3","5","false","","5","","5","5","false","2017-10-05 03:22:26 GMT","4",""
"326355e0805546b1a937459cb8dd0b19","2017-10-05 04:12:44 GMT","","1","5","false","","3","","5","3","false","2017-10-05 04:14:43 GMT","3",""
"9576408115de74577ed5b10a0080d095","2017-10-05 04:14:49 GMT","","5","5","false","","5","30.318166184313803, 120.17235654232786","5","5","false","2017-10-05 04:15:44 GMT","5",""
"bdfd9ef5c0a74e8512cd8dbf169a48b2","2017-10-05 04:27:50 GMT","","3","5","false","","5","","5","1","false","2017-10-05 04:28:49 GMT","5",""
"0cacb261621e8b87931384d87aca1f8b","2017-10-05 04:28:59 GMT","","","","false","","","","","","true","2017-10-05 04:29:09 GMT","",""
"2e474bd4e1bed80350dcc33c71e4cd2f","2017-10-05 04:29:17 GMT","","1","5","false","","5","","4","3","false","2017-10-05 04:30:45 GMT","4",""
"88add4250c7b7c5a055a6d899cdbde2a","2017-10-05 04:30:51 GMT","","4","5","false","","3","","5","3","false","2017-10-05 04:31:19 GMT","5",""
"de8d3508679bfdef827932011ff8a38d","2017-10-05 04:31:24 GMT","","5","5","false","","5","","5","5","false","2017-10-05 04:31:49 GMT","5",""
"62c1e351928d2efdd4132c4f370c9ae9","2017-10-05 04:31:55 GMT","","","","false","","","","","","true","2017-10-05 04:32:14 GMT","",""
"9f813d210de418beccd0309780bc814f","2017-10-05 04:32:19 GMT","","5","5","false","","1","","5","2","false","2017-10-05 04:33:19 GMT","5",""
"690f614ae78b5f88ea20f7137b3b21b3","2017-10-05 04:33:27 GMT","","5","5","false","","5","","5","5","false","2017-10-05 04:34:07 GMT","5",""
"ecb6af9f4d51ff9b57551b7c6cb156ca","2017-10-05 04:34:16 GMT","","3","5","false","","5","31.39628170875148, 120.96803235085667","5","5","false","2017-10-05 04:35:31 GMT","4",""
"9b34f86fee11ffc861c7c5950cef41ac","2017-10-05 09:19:10 GMT","","3","5","false","","5","30.286523212880315, 120.19470910548785","5","5","false","2017-10-05 09:21:03 GMT","3",""
